n0,nama_ukm,alamat,jenis_usaha,tenaga_kerja,kelurahan
72,NA,Cigondewah kaler No. 30 RT 04/12,Pembuatan topi,3 orang,CIGONDEWAH KALER
73,NA,Jl. Cigondewah RT 02/03,Pengrajin boneka,3 orang,CIGONDEWAH KALER
74,NA,Jl. Cigondewah RT 02/03,Konveksi Topi,pakaian,3 orang
75,NA,Cigondewah RT 01/01,Konveksi jaket,5 orang,CIGONDEWAH KALER
76,NA,Cigondewah RT 04/02,Konveksi jaket,6 orang,CIGONDEWAH KALER
77,NA,Cigondewah RT 02/04,Produksi kesed,3 orang,CIGONDEWAH KALER
78,NA,Cigondewah RT 01/05,Konveksi celana,4 orang,CIGONDEWAH KALER
79,NA,Cigondewah RT 01/06,Konveksi celana,5 orang,CIGONDEWAH KALER
80,NA,Cigondewah RT 03/07,Produksi kerupuk opak,3 orang,CIGONDEWAH KALER
81,NA,Cigondewah RT 02/08,konveksi celana,6 orang,CIGONDEWAH KALER
82,NA,Cigondewah RT 02/08,Produksi kesed,3 orang,CIGONDEWAH KALER
83,NA,Cigondewah RT 03/09,Produksi kesed,4 orang,CIGONDEWAH KALER
84,NA,Cigondewah RT 02/10,Konveksi celana,7 orang,CIGONDEWAH KALER
85,NA,Cigondewah RT 02/11,Konveksi jaket,6 orang,CIGONDEWAH KALER
86,NA,Cigondewah RT 03/13,Konveksi Topi,pakaian,5 orang
87,NA,Cigondewah kidul  RT 06/01,Konveksi pakaian,3 orang,CIGONDEWAH KIDUL
88,Pisces Sportwear,Cigondewah Kidul RT 01/04,Konveksi pakaian,4 orang,CIGONDEWAH KIDUL
89,HDN Collection,Cigondewah Kidul RT 02/01,Konveksi pakaian bayi,5 orang,CIGONDEWAH KIDUL
90,NA,Blok sawah RT 03/05,Konveksi topi,5 orang,CIGONDEWAH KIDUL
91,NA,Blok kasur RT 02/05,Konveksi topi,2 orang,CIGONDEWAH KIDUL
92,NA,Blok sawah RT 02/03,Boneka panda,3 orang,CIGONDEWAH KIDUL
93,NA,Blok sawah RT 02/03,Karung,2 orang,CIGONDEWAH KIDUL
94,NA,Blok sawah RT 02/02,Plastik,4 orang,CIGONDEWAH KIDUL
95,NA,Blok sawah RT 03/02,Sablon,2 orang,CIGONDEWAH KIDUL
96,NA,Cigondewah kidul RT 01/01,Konveksi pakaian,3 orang,CIGONDEWAH KIDUL
97,NA,Jl. Cigondewah Rahayu N0. 26/27,Konveksi,5 orang,CIGONDEWAH RAHAYU
98,NA,Jl. Cigondewah No. 60,Konveksi kaos celana,4 orang,CIGONDEWAH RAHAYU
99,NA,Lebaksari RT 03/04,Konveksi kaos,3 orang,CIGONDEWAH RAHAYU
100,NA,Komp. KPKB  RW 06,Konveksi tranning,celana,10 orang
101,NA,Jl. Cibolerang  RT 04/02,Pembuatan kue teng-teng,5 orang,CIGONDEWAH RAHAYU
102,NA,Jl. Cibolerang barat RT 01/01,Dompet,tas,3 orang
103,NA,Jl. Cibolerang barat RT 03 /01,Dompet,tas,4 orang
104,NA,Jl. Cigondewah RW 06,Pengrajin gordyn,konveksi,6 orang
105,NA,Cigondewah RT 01/01,Konveksi topi,4 orang,CIGONDEWAH RAHAYU
106,NA,Cigondewah RT 01/01,Pengrajin tas,4 orang,CIGONDEWAH RAHAYU
107,NA,Cigondewah RT 03/02,Konveksi jas hujan,4 orang,CIGONDEWAH RAHAYU
108,NA,Sumursari RT 03/03,Konveksi topi,6 orang,CIGONDEWAH RAHAYU
109,NA,Cigondewah rahayu RT 02/04,Konveksi pakaian,5 orang,CIGONDEWAH RAHAYU
110,NA,Cigondewah rahayu RT 02/05,Konveksi pakaian,4 orang,CIGONDEWAH RAHAYU
111,NA,Cigondewah rahayu RT 01/06,Sarung bantal kursi,dll,3 orang
112,NA,Cigondewah rahayu RT 03/06,Konveksi tranning,celana,5 orang
